220671
I||
JJ|23|;1,5,4
JJ|232|1,4;2,5,3
LL|113|4;1,3,5,2
LL|142|1;4
OO|51|0;1,5
OO|204|1;0,5
JIJ|23,23|;;1,5,4
JIJ|232,232|1,4;;2,5,3
JJO|46,51|1;2,5;1,5
JJO|785,51|2;1,3,5,2;1,5
JJO|2188,204|1,3;4;0,5
JJS|232,57|1,4;2,5,3,2;4
JJS|785,57|2;1,2,5,2;4
JJS|2188,156|1,3;;1,5,4
JJZ|785,2973|2;1,3,5;1,2,4
JJZ|2188,2973|1,3;2,0;1,2,4
JLO|116,204|4;1,3,5;0,5
JLO|785,51|2;1,2,5,2;1,5
JLO|785,153|2;3,5,1,5;
JLO|2188,153|1,3;2;
JLO|2188,204|1,3;;0,5
JLS|785,57|2;1,2,5,3,5;4
JLT|2188,141|1,3;4;4
JLZ|23,201|;1,5,3;1,4
JOJ|46,3310|1;1,5;2,0,5
JOJ|2188,139|1,3;0,5;4
JOL|785,887|2;1,5,0;3,1,5
JSL|2188,142|1,3;4;4
JTL|2188,142|1,3;4;4
JTT|23,141|;1,5,3;4
JZJ|2188,3310|1,3;2;2,0,5
JZL|23,887|;;3,1,5
LIL|113,113|4;;1,3,5,2
LIL|142,142|1;;4
LJO|226,51|1,4;2,5;1,5
LJO|275,51|2;1,5;1,5
LJO|275,153|2;1,5,3;
LJO|3208,153|1,3;2,5,0,5;
LJO|3208,204|1,3;3,5,3;0,5
LJS|142,57|1;2;4
LJT|275,27|2;1,5,4;1,5,4
LJZ|3208,201|1,3;3,5,2,5;1,4
LLO|71,204|;1,3,5;0,5
LLO|275,51|2;4,5;1,5
LLO|3208,204|1,3;2,5,3;0,5
LLS|275,3483|2;1,5,3,1;3,4
LLS|3208,3483|1,3;2,5;3,4
LLZ|113,201|4;1,3,5,2,3;1,4
LLZ|275,147|2;1,5;4
LLZ|3208,201|1,3;2,5,2;1,4
LOJ|3208,3310|1,3;0,5,1;2,0,5
LOL|71,887|;0,5;3,1,5
LOL|275,29|2;1,5;4,5
LSJ|142,3310|1;1;2,0,5
LSL|275,887|2;2,5;3,1,5
LTJ|275,23|2;1,5,4;1,5,4
LTT|142,27|1;2;1,5,4
LZJ|275,23|2;1,5,4;1,5,4
OIO|51,51|0;;1,5
OIO|204,204|1;;0,5
OJJ|51,139|0;1,3,5;4
OJL|102,887|;2,5;3,1,5
OLJ|102,3310|;1,3,5;2,0,5
OLL|204,29|1;2,5;4,5
OTJ|51,139|0;3,1,5;4
OTL|204,29|1;2,0,5;4,5
STJ|198,23|1;2,0,5;1,5,4
TJT|2248,141|1,3;2,5,0,3;4
TLT|305,27|2;1,5,3,5,1,2;1,5,4
TOJ|2248,139|1,3;0,5;4
TOL|305,29|2;1,5;4,5
TSJ|305,23|2;2,5,2;1,5,4
TSJ|2248,232|1,3;4;2,5,3
TTJ|78,23|1;2,0,5;1,5,4
TTJ|305,23|2;1,5,3,1,5,2;1,5,4
TTJ|2248,232|1,3;4;2,5,3
TTL|39,142|;3,1,5;4
TTL|305,113|2;1,5,4;1,3,5,2
TTL|2248,142|1,3;2,0,5,3;4
TTO|305,153|2;1,5,3,1,5;
TTO|2248,153|1,3;2,0,5;
TZL|305,113|2;4;1,3,5,2
TZL|2248,142|1,3;3,5,3;4
ZTL|54,142|;3,1,5;4
IIII|4369,13107,30583|3;3,5;2,5;2,5
IIII|4369,13107,48059|3;3,5;3,5;2,5
IIII|4369,21845,30583|3;2,5;3,5;2,5
IIII|4369,21845,56797|3;2,5;2,5;3,5
IIII|4369,39321,48059|3;2,5,1;3,5;2,5
IIII|4369,39321,56797|3;2,5,1;2,5;3,5
IIII|8738,13107,30583|3,4;3,5;2,5;2,5
IIII|8738,13107,48059|3,4;3,5;3,5;2,5
IIII|8738,26214,30583|3,4;2,5;3,5;2,5
IIII|8738,43690,48059|3,4;2,5,1;3,5;2,5
IIII|8738,43690,61166|3,4;2,5,1;2,5;3,5
IIII|17476,21845,30583|2,0;2,5;3,5;2,5
IIII|17476,21845,56797|2,0;2,5;2,5;3,5
IIII|17476,26214,30583|2,0;3,5;3,5;2,5
IIII|17476,52428,56797|2,0;3,5,4;2,5;3,5
IIII|17476,52428,61166|2,0;3,5,4;3,5;3,5
IIII|34952,39321,48059|2;3,5,0;3,5;2,5
IIII|34952,39321,56797|2;3,5,0;2,5;3,5
IIII|34952,43690,48059|2;3,5;3,5;2,5
IIII|34952,43690,61166|2;3,5;2,5;3,5
IIII|34952,52428,56797|2;2,5;2,5;3,5
IIII|34952,52428,61166|2;2,5;3,5;3,5
IIJJ|4369,13107,955|3;3,5;1,3,5;1,2,5
IIJJ|4369,39321,2525|3;2,5,1;3,5;2,5
IIJJ|8738,13107,955|3,4;3,5;1,3,5;1,2,5
IIJJ|17476,52428,3310|2,0;3,5,4;3,5;2,0,5
IIJJ|34952,39321,2525|2;3,5,0;3,5;2,5
IIJJ|34952,52428,3310|2;2,5;3,5;2,0,5
IIJL|4369,13107,887|3;3,5;1,2,5;3,1,5
IIJL|4369,39321,2491|3;2,5,1;2,5;1,3,5
IIJL|8738,13107,887|3,4;3,5;1,2,5;3,1,5
IIJL|17476,52428,3293|2,0;3,5,4;2,5,0,5;3,5
IIJL|34952,39321,2491|2;3,5,0;2,5;1,3,5
IIJL|34952,52428,3293|2;2,5;2,5,0,5;3,5
IILJ|4369,13107,955|3;3,5;3,5,1,5;1,2,5
IILJ|4369,39321,2525|3;2,5,1;1,3,5;2,5
IILJ|8738,13107,955|3,4;3,5;3,5,1,5;1,2,5
IILJ|17476,52428,3310|2,0;3,5,4;3,5;2,0,5
IILJ|34952,39321,2525|2;3,5,0;1,3,5;2,5
IILJ|34952,52428,3310|2;2,5;3,5;2,0,5
IILL|4369,13107,887|3;3,5;1,2,5;3,1,5
IILL|4369,39321,2491|3;2,5,1;2,5;1,3,5
IILL|8738,13107,887|3,4;3,5;1,2,5;3,1,5
IILL|17476,52428,3293|2,0;3,5,4;2,5;3,5
IILL|34952,39321,2491|2;3,5,0;2,5;1,3,5
IILL|34952,52428,3293|2;2,5;2,5;3,5
IIOO|4369,13107,51|3;3,5;1,5;1,5
IIOO|4369,39321,153|3;2,5,1;;
IIOO|8738,13107,51|3,4;3,5;1,5;1,5
IIOO|17476,52428,204|2,0;3,5,4;0,5;0,5
IIOO|34952,39321,153|2;3,5,0;;
IIOO|34952,52428,204|2;2,5;0,5;0,5
IITJ|4369,13107,955|3;3,5;3,1,5;1,2,5
IITJ|4369,39321,2525|3;2,5,1;1,3,5;2,5
IITJ|8738,13107,955|3,4;3,5;3,1,5;1,2,5
IITJ|17476,52428,3310|2,0;3,5,4;3,5;2,0,5
IITJ|34952,39321,2525|2;3,5,0;1,3,5;2,5
IITJ|34952,52428,3310|2;2,5;3,5;2,0,5
IITL|4369,13107,887|3;3,5;1,2,5;3,1,5
IITL|4369,39321,2491|3;2,5,1;2,5;1,3,5
IITL|8738,13107,887|3,4;3,5;1,2,5;3,1,5
IITL|17476,52428,3293|2,0;3,5,4;2,0,5;3,5
IITL|34952,39321,2491|2;3,5,0;2,5;1,3,5
IITL|34952,52428,3293|2;2,5;2,0,5;3,5
IJIJ|4369,5463,2525|3;3,5;2,5;2,5
IJIJ|4369,6557,955|3;1,5,3;3,5;1,2,5
